epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.643,1.41254,1.62539,1.39298,0.68669,0.64105,0.68808,0.35732,1.48605,1.09858,1.56638,0.000364455,0.000364455,0.000364455
2,53.21,1.36945,0.99672,1.31225,0.78307,0.59085,0.66515,0.36422,1.51602,1.07522,1.60211,0.00072024,0.00072024,0.00072024
3,76.5699,1.3572,1.00232,1.33592,0.47543,0.55964,0.54021,0.26018,1.72815,1.36328,1.79799,0.00106136,0.00106136,0.00106136
4,97.0994,1.36454,0.98701,1.34128,0.68169,0.7252,0.74664,0.37401,1.49312,1.07053,1.55349,0.00104501,0.00104501,0.00104501
5,117.747,1.35931,0.94933,1.31674,0.69362,0.68048,0.73928,0.38996,1.47626,0.97564,1.54849,0.00102301,0.00102301,0.00102301
6,142.118,1.33758,0.9213,1.3234,0.82614,0.676,0.79326,0.41502,1.50495,0.90611,1.54917,0.00100101,0.00100101,0.00100101
7,164.819,1.32842,0.88426,1.31482,0.74021,0.73769,0.80648,0.43619,1.49811,0.88004,1.57554,0.000979013,0.000979013,0.000979013
8,185.205,1.30533,0.88182,1.30104,0.80065,0.80128,0.86631,0.45365,1.45907,0.84219,1.53774,0.000957015,0.000957015,0.000957015
9,206.102,1.2782,0.84484,1.28891,0.75842,0.77767,0.81095,0.43483,1.46799,0.86031,1.55359,0.000935018,0.000935018,0.000935018
10,226.76,1.2949,0.84779,1.28707,0.75549,0.75126,0.79855,0.42329,1.53358,0.89303,1.5833,0.00091302,0.00091302,0.00091302
11,247.617,1.26022,0.81748,1.26893,0.86681,0.73489,0.83948,0.46103,1.39817,0.77871,1.48741,0.000891022,0.000891022,0.000891022
12,269.54,1.25344,0.78276,1.26262,0.79772,0.77889,0.83373,0.45868,1.44421,0.76927,1.51641,0.000869024,0.000869024,0.000869024
13,289.768,1.24609,0.77585,1.25629,0.86317,0.79677,0.86756,0.45089,1.44352,0.81431,1.51746,0.000847026,0.000847026,0.000847026
14,310.184,1.23865,0.77276,1.24848,0.79926,0.80227,0.86688,0.46726,1.44717,0.77361,1.54554,0.000825029,0.000825029,0.000825029
15,335.813,1.20638,0.7501,1.24731,0.84909,0.74403,0.82116,0.4556,1.40884,0.77981,1.51147,0.000803031,0.000803031,0.000803031
16,357.022,1.20149,0.73991,1.23575,0.88419,0.73255,0.84208,0.47528,1.38659,0.74079,1.47204,0.000781033,0.000781033,0.000781033
17,377.746,1.19795,0.73344,1.23407,0.852,0.75444,0.82345,0.45098,1.44748,0.7246,1.52464,0.000759035,0.000759035,0.000759035
18,401.596,1.19051,0.7195,1.22784,0.78059,0.81832,0.84789,0.45456,1.4357,0.73447,1.53427,0.000737037,0.000737037,0.000737037
19,422.01,1.19538,0.71024,1.22225,0.729,0.79747,0.85112,0.45265,1.42149,0.72876,1.50884,0.00071504,0.00071504,0.00071504
20,442.445,1.17531,0.69741,1.23335,0.81768,0.78851,0.85008,0.45558,1.43835,0.73156,1.53447,0.000693042,0.000693042,0.000693042
21,462.519,1.16733,0.70193,1.20912,0.85753,0.79342,0.88053,0.50432,1.38199,0.71774,1.4676,0.000671044,0.000671044,0.000671044
22,482.513,1.16227,0.68948,1.21611,0.79254,0.81515,0.85744,0.49066,1.37759,0.68979,1.48211,0.000649046,0.000649046,0.000649046
23,502.556,1.14111,0.68186,1.20576,0.78569,0.82965,0.86307,0.48444,1.38563,0.68005,1.48516,0.000627048,0.000627048,0.000627048
24,522.575,1.14455,0.66747,1.20956,0.86355,0.8362,0.89022,0.49672,1.41075,0.67563,1.50795,0.000605051,0.000605051,0.000605051
25,548.107,1.10491,0.65309,1.17546,0.80076,0.82751,0.86892,0.48436,1.40182,0.70732,1.49777,0.000583053,0.000583053,0.000583053
26,568.056,1.09856,0.62833,1.17392,0.85794,0.80641,0.85996,0.48025,1.39628,0.6714,1.50731,0.000561055,0.000561055,0.000561055
27,588.51,1.10053,0.6424,1.19042,0.84749,0.83564,0.88454,0.49126,1.4116,0.68747,1.5274,0.000539057,0.000539057,0.000539057
28,608.91,1.08866,0.62293,1.16917,0.89556,0.78246,0.88445,0.49999,1.38338,0.66809,1.48946,0.000517059,0.000517059,0.000517059
29,629.053,1.07643,0.60839,1.17192,0.87989,0.85816,0.90449,0.49999,1.38949,0.66692,1.50149,0.000495062,0.000495062,0.000495062
30,649.051,1.06758,0.61206,1.16012,0.80933,0.84333,0.86553,0.48749,1.37746,0.66997,1.48901,0.000473064,0.000473064,0.000473064
31,669.063,1.05394,0.5987,1.15829,0.88516,0.8354,0.89922,0.4989,1.39375,0.66193,1.49011,0.000451066,0.000451066,0.000451066
32,688.881,1.03938,0.58602,1.14733,0.78917,0.81055,0.83439,0.46998,1.41931,0.69514,1.53285,0.000429068,0.000429068,0.000429068
33,708.732,1.02776,0.5703,1.13796,0.83017,0.83479,0.85071,0.48275,1.39115,0.67886,1.51675,0.00040707,0.00040707,0.00040707
34,728.696,1.02306,0.56466,1.14376,0.84029,0.80414,0.84795,0.47478,1.41852,0.69009,1.51958,0.000385073,0.000385073,0.000385073
35,748.732,1.00694,0.55634,1.13083,0.85409,0.82657,0.86647,0.48051,1.41901,0.67554,1.53689,0.000363075,0.000363075,0.000363075
36,768.705,0.9865,0.54029,1.1172,0.81574,0.82193,0.84407,0.48088,1.41579,0.66309,1.52131,0.000341077,0.000341077,0.000341077
37,788.984,0.98389,0.53901,1.11396,0.83789,0.83338,0.86114,0.48627,1.4024,0.67104,1.51752,0.000319079,0.000319079,0.000319079
38,809.72,0.96577,0.52982,1.11361,0.80412,0.85787,0.85827,0.48093,1.41641,0.66614,1.52986,0.000297081,0.000297081,0.000297081
39,830.226,0.97053,0.52291,1.09962,0.85969,0.80392,0.8666,0.48796,1.42348,0.68587,1.52295,0.000275084,0.000275084,0.000275084
40,850.672,0.95076,0.52266,1.09757,0.8904,0.79143,0.88381,0.49311,1.37684,0.64938,1.49405,0.000253086,0.000253086,0.000253086
41,892.737,0.93452,0.47068,1.08477,0.90788,0.81104,0.88126,0.48693,1.39331,0.66341,1.53303,0.000231088,0.000231088,0.000231088
42,912.567,0.91127,0.45028,1.07948,0.84966,0.82495,0.87054,0.5003,1.38667,0.66292,1.51365,0.00020909,0.00020909,0.00020909
43,932.311,0.89953,0.44482,1.07645,0.83833,0.8415,0.88448,0.51445,1.39334,0.654,1.52083,0.000187092,0.000187092,0.000187092
44,952.074,0.87882,0.42927,1.06346,0.86837,0.81271,0.88866,0.48692,1.42731,0.6687,1.55806,0.000165095,0.000165095,0.000165095
45,971.896,0.88428,0.42961,1.05941,0.90777,0.79878,0.88362,0.49315,1.43137,0.67199,1.55611,0.000143097,0.000143097,0.000143097
46,994.869,0.85822,0.42376,1.04665,0.87929,0.82283,0.89029,0.50112,1.41924,0.66101,1.55098,0.000121099,0.000121099,0.000121099
47,1015.55,0.82813,0.40903,1.03194,0.89783,0.80971,0.88631,0.50124,1.41864,0.66783,1.5515,9.91012e-05,9.91012e-05,9.91012e-05
48,1035.08,0.81849,0.39759,1.02616,0.85371,0.85031,0.89325,0.50384,1.41298,0.65917,1.56352,7.71034e-05,7.71034e-05,7.71034e-05
49,1054.64,0.81107,0.39822,1.02331,0.85762,0.82772,0.88329,0.49474,1.41631,0.67263,1.55699,5.51056e-05,5.51056e-05,5.51056e-05
50,1074.27,0.79081,0.38655,1.01174,0.86421,0.83025,0.88859,0.49724,1.42355,0.67789,1.56733,3.31078e-05,3.31078e-05,3.31078e-05
